l_s	l_l	R	theta	
	 0.49044	 0.43048	 0.02472	 -0.38612
	 0.45331	 0.45405	 0.02499	 -0.39751
	 0.44594	 0.42796	 0.02474	 -0.39285
	 0.44941	 0.24238	 0.02473	 -0.39348
	 0.49822	 0.45423	 0.02473	 -0.38769
	 0.42222	 0.33394	 0.02499	 -0.39027
	 0.44599	 0.35311	 0.02499	 -0.39578
	 0.49383	 0.45954	 0.02498	 -0.38981
	 0.44599	 0.37108	 0.02473	 -0.39274
	 0.45813	 0.45037	 0.02499	 -0.38283
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.49926	 0.45564	 0.02500	 -0.39107
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.45306	 0.42973	 0.02487	 -0.39598
	 0.44919	 0.45237	 0.02496	 -0.39621
	 0.44874	 0.22611	 0.02454	 -0.39109
	 0.44941	 0.47264	 0.02472	 -0.39343
	 0.45030	 0.45764	 0.02490	 -0.39577
	 0.46227	 0.45764	 0.02500	 -0.38374
	 0.43734	 0.42973	 0.02465	 -0.38989
	 0.44680	 0.47004	 0.02490	 -0.39500
	 0.44936	 0.47004	 0.02490	 -0.39557
	 0.45138	 0.42973	 0.02490	 -0.39592
	 0.44935	 0.45752	 0.02473	 -0.39347
	 0.45287	 0.45752	 0.02473	 -0.37870
	 0.44935	 0.45752	 0.02498	 -0.39649
	 0.44599	 0.46517	 0.02499	 -0.39578
	 0.44183	 0.35311	 0.02499	 -0.39484
	 0.44599	 0.46517	 0.02334	 -0.36130
	 0.46323	 0.47370	 0.02473	 -0.38084
	 0.44935	 0.45988	 0.02492	 -0.39573
	 0.44935	 0.45752	 0.02497	 -0.39629
	 0.42531	 0.45752	 0.02474	 -0.38823
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.44263	 0.45752	 0.02434	 -0.38742
	 0.45612	 0.45588	 0.02473	 -0.37938
	 0.44935	 0.45727	 0.02473	 -0.39347
	 0.44599	 0.46517	 0.02499	 -0.39578
	 0.44874	 0.45752	 0.02498	 -0.39631
	 0.44935	 0.43297	 0.02487	 -0.39517
	 0.44599	 0.46193	 0.02499	 -0.39580
	 0.46673	 0.45361	 0.02499	 -0.38462
	 0.45336	 0.45797	 0.02473	 -0.37880
	 0.45022	 0.45778	 0.02496	 -0.39644
	 0.45297	 0.45223	 0.02490	 -0.39636
	 0.42866	 0.43147	 0.02473	 -0.38883
	 0.44935	 0.45773	 0.02472	 -0.39344
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.45331	 0.45405	 0.02499	 -0.39751
	 0.43507	 0.43270	 0.02499	 -0.39339
	 0.44935	 0.45780	 0.02472	 -0.39334
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.44935	 0.45752	 0.02498	 -0.39649
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.44935	 0.46048	 0.02492	 -0.39573
	 0.45037	 0.46903	 0.02499	 -0.39684
	 0.45299	 0.42973	 0.02382	 -0.36819
	 0.44919	 0.45237	 0.02496	 -0.39621
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.45138	 0.42973	 0.02491	 -0.39606
	 0.39548	 0.45405	 0.02499	 -0.38362
	 0.44183	 0.33083	 0.02410	 -0.36923
	 0.44988	 0.46193	 0.02499	 -0.39666
	 0.44546	 0.45752	 0.02498	 -0.39562
	 0.45290	 0.48482	 0.02487	 -0.39595
	 0.43348	 0.42973	 0.02499	 -0.39294
	 0.44590	 0.46517	 0.02499	 -0.39576
	 0.45152	 0.42409	 0.02490	 -0.39596
	 0.44598	 0.48662	 0.02499	 -0.39578
	 0.44936	 0.32248	 0.02497	 -0.39629
	 0.45290	 0.45237	 0.02496	 -0.39704
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.44599	 0.46517	 0.02474	 -0.39284
	 0.44919	 0.45237	 0.02496	 -0.39621
	 0.43470	 0.45223	 0.02490	 -0.39226
	 0.44874	 0.45752	 0.02498	 -0.39631
	 0.45143	 0.42973	 0.02490	 -0.39593
	 0.44881	 0.45763	 0.02160	 -0.34118
	 0.45023	 0.45753	 0.02499	 -0.39679
	 0.45022	 0.46514	 0.02499	 -0.39677
	 0.44599	 0.45781	 0.02496	 -0.39545
	 0.44935	 0.35329	 0.02499	 -0.39663
	 0.44183	 0.45734	 0.02499	 -0.39484
	 0.44936	 0.47004	 0.02490	 -0.39556
	 0.44935	 0.45752	 0.02498	 -0.39650
	 0.44933	 0.45752	 0.02499	 -0.39662
	 0.44990	 0.46193	 0.02499	 -0.39667
	 0.44919	 0.45237	 0.02496	 -0.39621
	 0.44935	 0.45752	 0.02500	 -0.39668
	 0.45017	 0.45754	 0.02496	 -0.39643
	 0.44940	 0.45776	 0.02499	 -0.39664
	 0.44935	 0.48491	 0.02499	 -0.39663
	 0.45331	 0.45405	 0.02499	 -0.39751
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.43860	 0.46514	 0.02500	 -0.39424
	 0.46149	 0.45237	 0.02496	 -0.38318
	 0.44935	 0.45752	 0.02498	 -0.39650
	 0.44935	 0.43518	 0.02498	 -0.39650
	 0.44935	 0.45752	 0.02499	 -0.39663
	 0.45289	 0.45223	 0.02491	 -0.39637
