xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	T_f	theta	power	
	 0.67436	 -0.20454	 0.90268	 0.02146	 0.50695	 0.79095	 0.81530	 -0.64783	 369.42848	 -0.03782 	 44.51999
	 0.47289	 -0.20291	 0.80632	 0.57248	 0.52336	 -0.64078	 0.81528	 -0.42427	 317.80532	 -0.00000 	 37.76417
	 0.63090	 -0.63530	 0.77802	 0.25651	 0.57956	 0.72857	 0.86145	 -0.33514	 351.97314	 0.00000 	 0.00000
	 0.44872	 -0.12118	 0.87952	 0.18895	 0.61728	 0.49411	 0.85223	 -0.36342	 373.24161	 0.00000 	 0.00000
	 0.60385	 -0.53639	 0.85182	 0.53262	 0.41573	 0.28858	 0.90787	 -0.49230	 340.96721	 0.00000 	 0.00000
	 0.54023	 -0.75467	 0.88467	 0.03463	 0.73745	 -0.00672	 0.94053	 -0.47874	 402.07952	 0.00000 	 0.00000
	 0.64450	 -0.69761	 0.80348	 0.61097	 0.72990	 -0.46375	 0.94111	 -0.73115	 350.33539	 0.00000 	 0.00000
	 0.60320	 -0.79879	 0.88486	 0.04714	 0.38483	 -0.01157	 0.97302	 -0.37859	 342.84552	 -0.00109 	 42.88716
	 0.72763	 -0.68356	 0.81970	 0.00085	 0.42862	 -0.19733	 0.97129	 -0.46815	 412.03824	 -0.11931 	 26.44347
	 0.73122	 -0.86542	 0.80708	 0.63668	 0.52399	 0.79170	 0.81626	 -0.58464	 371.57473	 -0.03080 	 17.72342
	 0.60452	 -0.21241	 0.88750	 0.02248	 0.52350	 -0.00336	 0.81530	 -0.47842	 369.42848	 -0.16342 	 55.89329
	 0.67304	 -0.79091	 0.80402	 0.01320	 0.73812	 0.78753	 0.94053	 -0.64662	 342.60535	 -0.00964 	 20.31621
	 0.67281	 -0.63485	 0.77802	 0.25931	 0.61446	 0.72922	 0.84095	 -0.33701	 380.91697	 -0.13141 	 12.11063
	 0.67447	 -0.62852	 0.78288	 0.78242	 0.61752	 -0.86406	 0.91315	 -0.33518	 311.31414	 0.00000 	 12.17332
	 0.68186	 -0.65937	 0.80037	 0.65682	 0.42420	 -0.14908	 0.85106	 -0.29617	 371.25977	 0.00000 	 0.00000
	 0.72763	 -0.68164	 0.81992	 0.58832	 0.62065	 0.72692	 0.83195	 -0.47056	 412.03824	 -0.62716 	 10.42947
	 0.60450	 -0.84807	 0.88467	 0.03728	 0.74104	 0.81097	 0.94053	 -0.47617	 342.60535	 -0.01626 	 42.68837
	 0.67201	 -0.12105	 0.88966	 0.55557	 0.69357	 -0.01552	 0.78837	 -0.44778	 410.86408	 0.00000 	 0.00000
