Time,Extension,Load,Tensile strain (Extension),Temperature: Chamber 3119-600 1 1,Tensile stress
(s),(mm),(N),(mm/mm),(C),(MPa)
"38.20000","1.77133","13.47955","0.00629","120.13814","118.23211"
"38.30000","1.77307","13.52691","0.00630","120.13814","118.64759"
"38.40000","1.77495","13.55997","0.00632","120.13814","118.93751"
"38.50000","1.77678","13.57103","0.00634","120.13814","119.03451"
"38.60000","1.77814","13.60718","0.00635","120.13814","119.35158"
"38.70000","1.77967","13.64184","0.00637","120.14255","119.65565"
"38.80000","1.78141","13.69602","0.00639","120.14255","120.13084"
"38.90000","1.78341","13.73157","0.00641","120.14255","120.44270"
"39.00000","1.78514","13.75900","0.00642","120.14255","120.68326"
"39.10000","1.78651","13.78087","0.00644","120.14255","120.87513"
"39.20000","1.78804","13.81522","0.00645","120.14255","121.17642"
"39.30000","1.78982","13.85137","0.00647","120.14330","121.49343"
"39.40000","1.79183","13.93650","0.00649","120.14330","122.24019"
"39.50000","1.79346","13.93551","0.00650","120.14330","122.23145"
"39.60000","1.79484","13.96967","0.00652","120.14330","122.53107"
"39.70000","1.79645","13.99803","0.00653","120.14330","122.77983"
"39.80000","1.79825","14.03811","0.00655","120.14493","123.13140"
"39.90000","1.80020","14.06423","0.00657","120.14493","123.36052"
"40.00000","1.80176","14.09232","0.00659","120.14493","123.60690"
"40.10000","1.80313","14.15065","0.00660","120.14493","124.11855"
"40.20000","1.80477","14.12571","0.00662","120.14493","123.89977"
"40.30000","1.80655","14.16788","0.00663","120.14493","124.26968"
"40.40000","1.80847","14.21251","0.00665","120.14915","124.66106"
"40.50000","1.80999","14.25890","0.00667","120.14915","125.06800"
"40.60000","1.81143","14.28538","0.00668","120.14915","125.30029"
"40.70000","1.81304","14.29540","0.00670","120.14915","125.38817"
"40.80000","1.81485","14.35634","0.00672","120.14915","125.92266"
"40.90000","1.81674","14.37807","0.00673","120.15324","126.11330"
"41.00000","1.81826","14.41534","0.00675","120.15324","126.44016"
"41.10000","1.81974","14.42868","0.00676","120.15324","126.55717"
"41.20000","1.82135","14.47791","0.00678","120.15324","126.98901"
"41.30000","1.82320","14.52289","0.00680","120.15324","127.38352"
"41.40000","1.82512","14.54035","0.00682","120.15324","127.53667"
"41.50000","1.82652","14.58681","0.00683","120.15599","127.94414"
"41.60000","1.82806","14.61843","0.00685","120.15599","128.22153"
"41.70000","1.82975","14.62978","0.00686","120.15599","128.32106"
"41.80000","1.83160","14.69247","0.00688","120.15599","128.87097"
"41.90000","1.83342","14.72826","0.00690","120.15599","129.18484"
"42.00000","1.83490","14.74183","0.00691","120.16094","129.30392"
"42.10000","1.83641","14.79371","0.00693","120.16094","129.75897"
"42.20000","1.83815","14.82102","0.00695","120.16094","129.99849"
"42.30000","1.83998","14.84274","0.00696","120.16094","130.18898"
"42.40000","1.84174","14.91437","0.00698","120.16094","130.81728"
"42.50000","1.84320","14.96357","0.00700","120.16094","131.24881"
