Time,Extension,Load,Tensile strain (Extension),Tensile stress
(s),(mm),(N),(mm/mm),(MPa)
"38.90000","1.55171","13.17682","0.00305","115.57681"
"39.00000","1.55378","13.20680","0.00305","115.83982"
"39.10000","1.55640","13.24341","0.00306","116.16088"
"39.20000","1.55926","13.28004","0.00307","116.48222"
"39.30000","1.56138","13.30672","0.00308","116.71619"
"39.40000","1.56390","13.34121","0.00308","117.01871"
"39.50000","1.56676","13.37670","0.00309","117.33006"
"39.60000","1.56892","13.41063","0.00310","117.62768"
"39.70000","1.57133","13.44421","0.00311","117.92213"
"39.80000","1.57409","13.47761","0.00312","118.21514"
"39.90000","1.57640","13.50891","0.00312","118.48966"
"40.00000","1.57872","13.53544","0.00313","118.72239"
"40.10000","1.58152","13.57606","0.00314","119.07867"
"40.20000","1.58397","13.60820","0.00315","119.36054"
"40.30000","1.58621","13.64322","0.00315","119.66774"
"40.40000","1.58889","13.67768","0.00316","119.96997"
"40.50000","1.59150","13.71130","0.00317","120.26488"
"40.60000","1.59372","13.74307","0.00318","120.54351"
"40.70000","1.59643","13.78076","0.00319","120.87412"
"40.80000","1.59915","13.81386","0.00319","121.16449"
"40.90000","1.60126","13.84575","0.00320","121.44420"
"41.00000","1.60381","13.88262","0.00321","121.76758"
"41.10000","1.60672","13.92107","0.00322","122.10484"
"41.20000","1.60883","13.94880","0.00322","122.34803"
"41.30000","1.61123","13.97847","0.00323","122.60829"
"41.40000","1.61419","14.02405","0.00324","123.00804"
"41.50000","1.61641","14.04911","0.00325","123.22791"
"41.60000","1.61872","14.08156","0.00326","123.51254"
"41.70000","1.62161","14.11769","0.00326","123.82940"
"41.80000","1.62401","14.14545","0.00327","124.07294"
"41.90000","1.62609","14.17990","0.00328","124.37508"
"42.00000","1.62889","14.21633","0.00329","124.69462"
"42.10000","1.63162","14.25208","0.00330","125.00816"
"42.20000","1.63358","14.28013","0.00330","125.25421"
"42.30000","1.63616","14.31515","0.00331","125.56136"
"42.40000","1.63916","14.35617","0.00332","125.92114"
"42.50000","1.64127","14.37951","0.00333","126.12589"
"42.60000","1.64371","14.41410","0.00333","126.42928"
"42.70000","1.64678","14.45517","0.00334","126.78953"
"42.80000","1.64899","14.48434","0.00335","127.04543"
"42.90000","1.65116","14.51395","0.00336","127.30509"
"43.00000","1.65424","14.55119","0.00337","127.63175"
"43.10000","1.65667","14.58672","0.00337","127.94339"
"43.20000","1.65866","14.61193","0.00338","128.16446"
"43.30000","1.66151","14.65185","0.00339","128.51463"
"43.40000","1.66433","14.69192","0.00340","128.86615"
"43.50000","1.66626","14.71287","0.00340","129.04987"
"43.60000","1.66884","14.75340","0.00341","129.40533"
"43.70000","1.67181","14.78774","0.00342","129.70654"
"43.80000","1.67379","14.81373","0.00343","129.93451"
"43.90000","1.67618","14.84485","0.00344","130.20749"
"44.00000","1.67919","14.88228","0.00345","130.53580"
"44.10000","1.68138","14.92134","0.00345","130.87837"
"44.20000","1.68355","14.94893","0.00346","131.12036"
"44.30000","1.68643","14.98332","0.00347","131.42207"
"44.40000","1.68904","15.02494","0.00348","131.78706"
"44.50000","1.69118","15.04664","0.00348","131.97740"
"44.60000","1.69393","15.08549","0.00349","132.31825"
"44.70000","1.69670","15.12643","0.00350","132.67728"
"44.80000","1.69872","15.15095","0.00351","132.89240"
"44.90000","1.70137","15.19230","0.00351","133.25507"
"45.00000","1.70427","15.22326","0.00352","133.52666"
"45.10000","1.70625","15.25268","0.00353","133.78462"
"45.20000","1.70874","15.28517","0.00354","134.06964"
"45.30000","1.71173","15.32637","0.00355","134.43102"
"45.40000","1.71394","15.35608","0.00355","134.69165"
"45.50000","1.71621","15.38376","0.00356","134.93436"
"45.60000","1.71903","15.42288","0.00357","135.27748"
"45.70000","1.72143","15.45614","0.00358","135.56927"
"45.80000","1.72364","15.48279","0.00358","135.80299"
"45.90000","1.72643","15.52210","0.00359","136.14781"
"46.00000","1.72900","15.55282","0.00360","136.41728"
"46.10000","1.73109","15.58567","0.00361","136.70538"
"46.20000","1.73376","15.61594","0.00362","136.97090"
"46.30000","1.73657","15.65290","0.00363","137.29507"
"46.40000","1.73876","15.68357","0.00363","137.56406"
"46.50000","1.74132","15.71478","0.00364","137.83786"
"46.60000","1.74423","15.75756","0.00365","138.21304"
"46.70000","1.74637","15.78213","0.00366","138.42862"
"46.80000","1.74879","15.80977","0.00366","138.67104"
"46.90000","1.75180","15.85517","0.00367","139.06923"
"47.00000","1.75392","15.88484","0.00368","139.32951"
"47.10000","1.75621","15.91339","0.00369","139.57988"
"47.20000","1.75927","15.95195","0.00370","139.91815"
"47.30000","1.76162","15.98088","0.00370","140.17191"
"47.40000","1.76376","16.01106","0.00371","140.43660"
"47.50000","1.76660","16.04736","0.00372","140.75494"
"47.60000","1.76912","16.08367","0.00373","141.07350"
"47.70000","1.77117","16.11397","0.00373","141.33923"
"47.80000","1.77387","16.14685","0.00374","141.62764"
"47.90000","1.77667","16.18566","0.00375","141.96802"
"48.00000","1.77865","16.21370","0.00376","142.21394"
"48.10000","1.78114","16.24533","0.00376","142.49144"
"48.20000","1.78414","16.28446","0.00377","142.83463"
"48.30000","1.78635","16.31561","0.00378","143.10789"
"48.40000","1.78865","16.34385","0.00379","143.35556"
"48.50000","1.79165","16.38133","0.00380","143.68434"
"48.60000","1.79405","16.41321","0.00381","143.96390"
"48.70000","1.79615","16.44205","0.00381","144.21689"
"48.80000","1.79909","16.48313","0.00382","144.57724"
"48.90000","1.80165","16.51682","0.00383","144.87273"
"49.00000","1.80362","16.54186","0.00384","145.09239"
"49.10000","1.80640","16.57936","0.00384","145.42123"
"49.20000","1.80934","16.61210","0.00385","145.70842"
"49.30000","1.81131","16.64721","0.00386","146.01640"
"49.40000","1.81373","16.68305","0.00387","146.33080"
"49.50000","1.81669","16.71499","0.00388","146.61095"
"49.60000","1.81883","16.74562","0.00388","146.87959"
"49.70000","1.82111","16.77610","0.00389","147.14694"
"49.80000","1.82406","16.81691","0.00390","147.50488"
"49.90000","1.82638","16.84581","0.00391","147.75835"
"50.00000","1.82858","16.87473","0.00391","148.01204"
"50.10000","1.83139","16.91248","0.00392","148.34314"
"50.20000","1.83409","16.95191","0.00393","148.68898"
"50.30000","1.83621","16.97643","0.00394","148.90408"
"50.40000","1.83889","17.01543","0.00395","149.24615"
"50.50000","1.84172","17.04771","0.00395","149.52930"
"50.60000","1.84381","17.07903","0.00396","149.80397"
"50.70000","1.84639","17.11299","0.00397","150.10185"
