Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Image.Max.
Emissivity				0.949999988079071
Distance				1
Reflected temperature				19.999993896484398
Location X				
Location Y				
Size X				
Size Y				
Surface (pixels)				76800

Date	Time	Milliseconds	Relative time	Image.Max.
15/07/2016	20:15:32	919	88,018	29,3580513000488
15/07/2016	20:15:33	258	88,357	29,3678607940674
15/07/2016	20:15:33	402	88,501	29,3531455993652
15/07/2016	20:15:33	598	88,697	29,3237113952637
15/07/2016	20:15:34	035	89,134	29,4806060791016
15/07/2016	20:15:34	141	89,24	29,436502456665
15/07/2016	20:15:34	655	89,754	29,4266986846924
15/07/2016	20:15:34	761	89,86	29,3923797607422
15/07/2016	20:15:35	003	90,102	29,4070892333984
15/07/2016	20:15:35	073	90,172	29,4217967987061
15/07/2016	20:15:35	477	90,576	29,3776683807373
15/07/2016	20:15:35	655	90,754	29,4708080291748
15/07/2016	20:15:36	052	91,151	29,3482418060303
15/07/2016	20:15:36	392	91,491	29,4855060577393
15/07/2016	20:15:36	620	91,719	29,4266986846924
15/07/2016	20:15:37	079	92,178	29,3776683807373
15/07/2016	20:15:37	285	92,384	29,4119911193848
15/07/2016	20:15:37	391	92,49	29,4119911193848
15/07/2016	20:15:37	846	92,945	29,3727645874023
15/07/2016	20:15:38	031	93,13	29,3089923858643
15/07/2016	20:15:38	364	93,463	29,3727645874023
15/07/2016	20:15:38	932	94,031	29,3825721740723
15/07/2016	20:15:39	120	94,219	29,3089923858643
15/07/2016	20:15:39	344	94,443	29,3138980865479
15/07/2016	20:15:39	489	94,588	29,3237113952637
15/07/2016	20:15:39	892	94,991	29,2795467376709
15/07/2016	20:15:40	356	95,455	29,3433361053467
15/07/2016	20:15:40	513	95,612	29,3286190032959
15/07/2016	20:15:40	641	95,74	29,3433361053467
15/07/2016	20:15:41	049	96,148	29,3335247039795
15/07/2016	20:15:41	287	96,386	29,436502456665
15/07/2016	20:15:41	628	96,727	29,3482418060303
15/07/2016	20:15:41	781	96,88	29,4168949127197
15/07/2016	20:15:42	232	97,331	29,4266986846924
15/07/2016	20:15:42	460	97,559	29,3433361053467
15/07/2016	20:15:42	625	97,724	29,3874759674072
15/07/2016	20:15:42	769	97,868	29,3188056945801
15/07/2016	20:15:43	113	98,212	29,4217967987061
15/07/2016	20:15:43	416	98,515	29,3678607940674
15/07/2016	20:15:43	722	98,821	29,3384304046631
15/07/2016	20:15:43	907	99,006	29,4021873474121
15/07/2016	20:15:44	285	99,384	29,3727645874023
15/07/2016	20:15:44	378	99,477	29,3531455993652
15/07/2016	20:15:44	612	99,711	29,3776683807373
15/07/2016	20:15:45	092	100,191	29,3874759674072
15/07/2016	20:15:45	395	100,494	29,4070892333984
15/07/2016	20:15:45	557	100,656	29,3433361053467
15/07/2016	20:15:46	005	101,104	29,3433361053467
15/07/2016	20:15:46	499	101,598	29,2697296142578
15/07/2016	20:15:46	661	101,76	29,3188056945801
15/07/2016	20:15:46	999	102,098	29,3678607940674
15/07/2016	20:15:47	303	102,402	29,2795467376709
15/07/2016	20:15:47	710	102,809	29,2893619537354
15/07/2016	20:15:48	105	103,204	29,3727645874023
15/07/2016	20:15:48	632	103,731	29,3237113952637
15/07/2016	20:15:49	018	104,117	29,3923797607422
15/07/2016	20:15:49	157	104,256	29,3923797607422
15/07/2016	20:15:49	747	104,846	29,4855060577393
15/07/2016	20:15:49	891	104,99	29,4708080291748
15/07/2016	20:15:50	244	105,343	29,4119911193848
15/07/2016	20:15:50	390	105,489	29,490406036377
15/07/2016	20:15:50	599	105,698	29,5100002288818
15/07/2016	20:15:50	787	105,886	29,4512062072754
15/07/2016	20:15:50	925	106,024	29,3972835540771
15/07/2016	20:15:51	288	106,387	29,436502456665
15/07/2016	20:15:51	643	106,742	29,4168949127197
15/07/2016	20:15:51	874	106,973	29,4168949127197
15/07/2016	20:15:52	009	107,108	29,4855060577393
15/07/2016	20:15:52	415	107,514	29,3776683807373
15/07/2016	20:15:52	758	107,857	29,4414024353027
15/07/2016	20:15:52	916	108,015	29,3874759674072
15/07/2016	20:15:53	222	108,321	29,3825721740723
15/07/2016	20:15:53	558	108,657	29,3972835540771
15/07/2016	20:15:53	860	108,959	29,3727645874023
15/07/2016	20:15:54	309	109,408	29,3138980865479
15/07/2016	20:15:54	494	109,593	29,3188056945801
15/07/2016	20:15:54	672	109,771	29,3972835540771
15/07/2016	20:15:55	082	110,181	29,3286190032959
15/07/2016	20:15:55	235	110,334	29,4021873474121
15/07/2016	20:15:55	595	110,694	29,3237113952637
15/07/2016	20:15:55	747	110,846	29,264820098877
15/07/2016	20:15:56	118	111,217	29,3286190032959
15/07/2016	20:15:56	394	111,493	29,3188056945801
15/07/2016	20:15:56	554	111,653	29,3089923858643
15/07/2016	20:15:56	923	112,022	29,3580513000488
15/07/2016	20:15:57	012	112,111	29,3138980865479
15/07/2016	20:15:57	174	112,273	29,3678607940674
15/07/2016	20:15:57	580	112,679	29,2991771697998
15/07/2016	20:15:57	711	112,81	29,304084777832
15/07/2016	20:15:58	080	113,179	29,304084777832
15/07/2016	20:15:58	233	113,332	29,3482418060303
15/07/2016	20:15:58	420	113,519	29,3188056945801
15/07/2016	20:15:58	850	113,949	29,2991771697998
15/07/2016	20:15:59	122	114,221	29,4463043212891
15/07/2016	20:15:59	512	114,611	29,3678607940674
15/07/2016	20:15:59	704	114,803	29,3384304046631
15/07/2016	20:15:59	898	114,997	29,3482418060303
15/07/2016	20:16:00	106	115,205	29,5002040863037
15/07/2016	20:16:00	290	115,389	29,27463722229
15/07/2016	20:16:00	649	115,748	29,304084777832
15/07/2016	20:16:01	066	116,165	29,2942695617676
15/07/2016	20:16:01	396	116,495	29,3138980865479
15/07/2016	20:16:01	570	116,669	29,4070892333984
