Plot 1 FLIR A320(30 Hz)EIP - 48200894

				Image.Max.
Emissivity				0.949999988079071
Distance				1
Reflected temperature				19.999993896484398
Location X				
Location Y				
Size X				
Size Y				
Surface (pixels)				76800

Date	Time	Milliseconds	Relative time	Image.Max.
18/07/2016	17:29:09	072	95,63	26,9538688659668
18/07/2016	17:29:09	164	95,722	26,9739093780518
18/07/2016	17:29:09	624	96,182	27,0590381622314
18/07/2016	17:29:09	761	96,319	27,0440196990967
18/07/2016	17:29:10	167	96,725	26,9939441680908
18/07/2016	17:29:10	262	96,82	26,9137783050537
18/07/2016	17:29:10	503	97,061	27,0440196990967
18/07/2016	17:29:10	631	97,189	26,9688987731934
18/07/2016	17:29:10	860	97,418	26,9488582611084
18/07/2016	17:29:11	004	97,562	26,9538688659668
18/07/2016	17:29:11	177	97,735	26,9989528656006
18/07/2016	17:29:11	565	98,123	26,9338264465332
18/07/2016	17:29:11	712	98,27	26,9187908172607
18/07/2016	17:29:11	920	98,478	26,8937282562256
18/07/2016	17:29:12	241	98,799	26,9037532806396
18/07/2016	17:29:12	520	99,078	26,8837013244629
18/07/2016	17:29:12	903	99,461	26,8786869049072
18/07/2016	17:29:13	155	99,713	26,8887138366699
18/07/2016	17:29:13	312	99,87	26,9037532806396
18/07/2016	17:29:13	743	100,301	26,793420791626
18/07/2016	17:29:14	101	100,659	26,8385696411133
18/07/2016	17:29:14	478	101,036	26,788402557373
18/07/2016	17:29:14	721	101,279	26,8084735870361
18/07/2016	17:29:14	845	101,403	26,793420791626
18/07/2016	17:29:15	232	101,79	26,8435859680176
18/07/2016	17:29:15	473	102,031	26,8084735870361
18/07/2016	17:29:15	891	102,449	26,7984390258789
18/07/2016	17:29:15	949	102,507	26,8786869049072
18/07/2016	17:29:16	221	102,779	26,9238033294678
18/07/2016	17:29:16	372	102,93	26,8536167144775
18/07/2016	17:29:16	584	103,142	26,8736743927002
18/07/2016	17:29:16	705	103,263	26,8937282562256
18/07/2016	17:29:17	046	103,604	26,8736743927002
18/07/2016	17:29:17	361	103,919	26,8486003875732
18/07/2016	17:29:17	526	104,084	26,94384765625
18/07/2016	17:29:17	637	104,195	26,8837013244629
18/07/2016	17:29:17	919	104,477	26,9288139343262
18/07/2016	17:29:18	303	104,861	26,8786869049072
