xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	theta	k	f	
	 0.67013	 -0.59056	 0.88527	 0.65369	 0.37855	 -0.28764	 0.86540	 -0.77029	 -0.16199 	 468.79528 	 0.89974
	 0.54244	 -0.58801	 0.86228	 0.00560	 0.62902	 -0.78897	 0.90454	 -0.51512	 -0.11618 	 374.82696 	 0.88654
	 0.54244	 -0.62180	 0.86228	 0.02012	 0.63664	 -0.74786	 0.90774	 -0.52350	 -0.12860 	 388.11166 	 0.88538
	 0.57411	 -0.80705	 0.92649	 0.30734	 0.43096	 -0.11589	 0.80572	 -0.86362	 -0.15717 	 498.89551 	 0.91389
	 0.54038	 -0.58391	 0.94660	 0.33583	 0.68160	 -0.71962	 0.91572	 -0.23563	 -0.09463 	 428.56380 	 0.91841
	 0.51046	 -0.62280	 0.94718	 0.33583	 0.66188	 -0.68854	 0.88643	 -0.88851	 -0.09256 	 411.87563 	 0.91297
	 0.54244	 -0.56753	 0.86511	 0.00560	 0.59320	 -0.74904	 0.91222	 -0.46707	 -0.12166 	 388.07932 	 0.88890
	 0.53272	 -0.58603	 0.92913	 0.32913	 0.43670	 -0.11589	 0.80880	 -0.56779	 -0.10399 	 520.66098 	 0.94944
	 0.53817	 -0.78902	 0.86259	 0.00329	 0.62407	 -0.68786	 0.91222	 -0.74904	 -0.13447 	 433.41025 	 0.90000
	 0.61204	 -0.62180	 0.86517	 0.34738	 0.55953	 -0.15571	 0.90281	 -0.56803	 0.00000 	 9999.00000 	 4.68699
	 0.53873	 -0.68483	 0.90142	 0.01070	 0.61966	 -0.71892	 0.87106	 -0.88719	 -0.12210 	 416.31856 	 0.89965
	 0.54147	 -0.68322	 0.93425	 0.32673	 0.56069	 -0.66058	 0.88331	 -0.39179	 -0.14258 	 494.77683 	 0.91972
	 0.45487	 -0.86393	 0.91198	 0.62363	 0.52712	 -0.38559	 0.89935	 -0.82620	 -0.10466 	 486.18730 	 0.93569
	 0.50368	 -0.89221	 0.86517	 0.01991	 0.62305	 -0.32352	 0.91432	 -0.47896	 -0.14696 	 637.60601 	 0.97301
	 0.53288	 -0.62635	 0.92682	 0.61499	 0.39357	 -0.65198	 0.86068	 -0.81882	 -0.09902 	 389.14949 	 0.90084
	 0.54244	 -0.62180	 0.94625	 0.31717	 0.67673	 -0.74786	 0.91137	 -0.52350	 -0.11231 	 423.69819 	 0.90751
	 0.54467	 -0.60062	 0.86039	 0.05647	 0.62497	 -0.71962	 0.91399	 -0.23563	 0.00000 	 9999.00000 	 4.68699
	 0.57016	 -0.83099	 0.92649	 0.33516	 0.46667	 -0.11589	 0.90570	 -0.81792	 -0.09195 	 736.33145 	 1.03941
	 0.54433	 -0.58391	 0.94660	 0.31026	 0.68199	 -0.71962	 0.81477	 -0.23563	 -0.10397 	 486.74500 	 0.93627
	 0.53556	 -0.50506	 0.90785	 0.65504	 0.56287	 -0.80968	 0.86671	 -0.55864	 0.00000 	 9999.00000 	 4.68699
	 0.66549	 -0.71972	 0.89213	 0.01972	 0.37855	 -0.28764	 0.91129	 -0.81677	 -0.10842 	 634.54180 	 0.99145
	 0.54467	 -0.48143	 0.94560	 0.32414	 0.67764	 -0.71962	 0.91130	 -0.23563	 -0.08960 	 395.57180 	 0.90814
	 0.53645	 -0.86393	 0.92581	 0.59514	 0.52797	 -0.38559	 0.89935	 -0.86653	 -0.15687 	 546.93010 	 0.93272
	 0.55780	 -0.58391	 0.93116	 0.33583	 0.67764	 -0.71962	 0.91130	 -0.23563	 -0.12175 	 421.32583 	 0.90178
	 0.67013	 -0.77279	 0.89213	 0.65369	 0.37626	 -0.28541	 0.86540	 -0.81677	 -0.17377 	 539.74536 	 0.92132
	 0.60535	 -0.70675	 0.91192	 0.29081	 0.55984	 -0.66058	 0.88158	 -0.39179	 -0.18361 	 506.30733 	 0.90331
	 0.52624	 -0.68483	 0.90142	 0.01070	 0.61966	 -0.71892	 0.86947	 -0.88719	 -0.11625 	 413.00160 	 0.90135
	 0.53898	 -0.61815	 0.86228	 0.00560	 0.42834	 -0.74786	 0.86476	 -0.80894	 -0.09819 	 379.75206 	 0.89761
	 0.68895	 -0.77644	 0.88527	 0.67989	 0.62208	 -0.28764	 0.91286	 -0.54227	 -0.13876 	 687.86023 	 0.99673
	 0.67208	 -0.61843	 0.86228	 0.62700	 0.62407	 -0.74786	 0.92274	 -0.52350	 0.00000 	 9999.00000 	 4.68699
