l_s	l_l	R	T_f	theta	power	
	 0.12037	 0.54445	 0.00839	 405.39099	 -0.10241 	 6.77839
	 0.10525	 0.35917	 0.01724	 404.04739	 -0.20201 	 8.20020
	 0.36285	 0.30526	 0.02960	 404.15896	 -0.40786 	 28.31553
	 0.32283	 0.29881	 0.02861	 403.14863	 -0.37517 	 24.96682
	 0.32047	 0.33519	 0.02039	 402.93699	 -0.31372 	 22.47272
	 0.18026	 0.33315	 0.02446	 406.70976	 -0.26421 	 14.51263
	 0.15187	 0.37444	 0.01978	 412.20232	 -0.26338 	 12.71953
	 0.10029	 0.53242	 0.01805	 397.59197	 -0.17907 	 7.33840
	 0.10486	 0.58084	 0.00490	 337.91864	 -0.00002 	 2.23598
	 0.20863	 0.10309	 0.02407	 400.90548	 -0.28286 	 15.76883
	 0.32110	 0.55037	 0.00693	 408.73971	 -0.10077 	 17.80712
	 0.10617	 0.32544	 0.02426	 392.14191	 -0.15841 	 7.53414
	 0.10211	 0.58489	 0.01664	 402.13651	 -0.19443 	 7.76846
	 0.20890	 0.37445	 0.02461	 411.95812	 -0.30013 	 17.49711
	 0.12396	 0.35917	 0.02013	 402.95835	 -0.21356 	 9.63404
	 0.31756	 0.33519	 0.01733	 404.02033	 -0.26802 	 21.12744
	 0.26295	 0.30599	 0.02889	 401.06931	 -0.31830 	 20.12497
	 0.18175	 0.58437	 0.00588	 353.20849	 -0.01461 	 5.65725
	 0.14743	 0.38106	 0.02025	 388.64469	 -0.17880 	 9.43193
	 0.10180	 0.57769	 0.01793	 312.93023	 0.00000 	 0.61052
	 0.13369	 0.32028	 0.02882	 412.12237	 -0.17794 	 11.24935
	 0.36714	 0.25377	 0.01796	 404.17818	 -0.28456 	 24.35642
	 0.13415	 0.58461	 0.00622	 351.56168	 -0.01185 	 4.03668
	 0.32436	 0.29962	 0.02939	 398.39120	 -0.35130 	 23.85595
	 0.10707	 0.53959	 0.01982	 397.34828	 -0.18306 	 7.88403
	 0.38009	 0.10177	 0.02936	 404.42718	 -0.42169 	 29.63458
	 0.21097	 0.10079	 0.02613	 398.28344	 -0.27217 	 15.65264
	 0.37812	 0.10177	 0.02955	 404.18349	 -0.41899 	 29.44019
	 0.33934	 0.30599	 0.02967	 401.81689	 -0.37976 	 25.93027
	 0.14780	 0.38106	 0.01734	 303.15458	 0.00000 	 0.00042
	 0.16657	 0.31535	 0.01842	 406.91302	 -0.25383 	 12.56047
	 0.10486	 0.54445	 0.00839	 405.39099	 -0.09744 	 5.86072
	 0.10159	 0.54627	 0.01850	 406.52441	 -0.19494 	 8.15971
	 0.16661	 0.31535	 0.02009	 402.40529	 -0.25440 	 12.63979
	 0.20890	 0.58093	 0.02418	 412.47872	 -0.30378 	 17.56030
	 0.10486	 0.37428	 0.00498	 335.80719	 0.00000 	 2.10012
