xs-	ys-	xs+	ys+	T_f	theta	power	
	 0.73417	 -0.40010	 0.82670	 0.78078	 404.75621	 0.00000 	 0.00000
	 0.70504	 -0.47797	 0.93222	 0.12621	 413.00716	 -0.36436 	 18.76802
	 0.56886	 -0.52991	 0.88065	 0.79882	 406.89099	 -0.27792 	 22.22631
	 0.70569	 -0.46507	 0.93041	 0.15222	 406.84158	 -0.32740 	 17.25106
	 0.56821	 -0.40312	 0.88198	 0.77286	 411.56546	 0.00000 	 0.00000
	 0.73694	 -0.40010	 0.82670	 0.78078	 404.75621	 -0.16376 	 6.73055
	 0.73212	 -0.49721	 0.82545	 0.84248	 399.21468	 -0.15841 	 6.73090
	 0.71496	 -0.49760	 0.81911	 0.13191	 406.67696	 -0.21435 	 8.05892
	 0.70949	 -0.42871	 0.84338	 0.08040	 404.71277	 -0.22927 	 9.89398
	 0.70947	 -0.42871	 0.83515	 0.07980	 406.63352	 -0.23083 	 9.50461
	 0.71049	 -0.42735	 0.90281	 0.37387	 408.33541	 -0.30066 	 14.78389
	 0.57160	 -0.42735	 0.90281	 0.37687	 411.59034	 -0.29881 	 21.58818
	 0.70709	 -0.54281	 0.88615	 0.76985	 408.46276	 -0.30141 	 14.13759
	 0.70108	 -0.45452	 0.94365	 0.14759	 404.75621	 -0.32772 	 18.13449
	 0.67703	 -0.52197	 0.93078	 0.54417	 404.75621	 -0.34963 	 19.37172
	 0.73398	 -0.40010	 0.87961	 0.75999	 404.76911	 -0.20946 	 10.52551
	 0.70458	 -0.48326	 0.82759	 0.17295	 406.87809	 -0.23114 	 9.38574
	 0.49219	 -0.83884	 0.93636	 0.87273	 411.68037	 -0.16175 	 21.10027
	 0.70602	 -0.50780	 0.82310	 0.13250	 303.62675	 0.00000 	 0.03480
	 0.70569	 -0.46507	 0.93041	 0.21325	 391.74911	 -0.21348 	 13.97362
	 0.73722	 -0.58220	 0.88146	 0.79031	 411.47185	 -0.26945 	 12.02581
	 0.70610	 -0.51893	 0.93004	 0.15235	 405.07081	 -0.31802 	 17.02698
	 0.70570	 -0.38394	 0.92921	 0.13448	 412.15082	 -0.35490 	 17.93051
	 0.71269	 -0.44052	 0.86367	 0.14753	 406.88635	 -0.25941 	 11.50573
