xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	theta	
	 0.74106	 -0.56581	 0.79472	 0.31282	 0.47850	 0.70899	 0.97155	 -0.04314	 -0.24629
	 0.67855	 -0.75098	 0.87937	 0.71953	 0.73948	 0.74456	 0.87467	 -0.37670	 -0.35624
	 0.74106	 -0.57809	 0.75750	 0.32458	 0.50208	 0.70899	 0.96363	 -0.87914	 0.00000
	 0.69283	 -0.61592	 0.91727	 0.71819	 0.61558	 0.73575	 0.86869	 -0.72017	 0.00000
	 0.63203	 -0.75098	 0.85163	 0.44965	 0.74019	 -0.13070	 0.86197	 -0.37670	 0.00000
	 0.74169	 -0.84531	 0.85435	 0.32215	 0.52183	 0.24689	 0.78442	 -0.87976	 -0.20227
	 0.63130	 -0.62799	 0.90488	 0.36392	 0.60188	 -0.18687	 0.87098	 -0.75223	 -0.26803
	 0.72693	 -0.56581	 0.79472	 0.31195	 0.49537	 0.50626	 0.95597	 -0.04314	 0.00000
	 0.69354	 -0.75098	 0.87937	 0.69657	 0.73948	 0.74456	 0.87467	 -0.43178	 -0.39290
	 0.68069	 -0.68186	 0.87937	 0.70623	 0.73555	 0.80629	 0.87467	 -0.37670	 -0.40268
	 0.74106	 -0.57811	 0.79472	 0.18544	 0.50208	 0.67216	 0.97934	 -0.13366	 -0.22291
	 0.63130	 -0.61592	 0.91727	 0.45610	 0.60413	 0.68707	 0.86075	 -0.88099	 0.00000
	 0.74106	 -0.57809	 0.78808	 0.39292	 0.49983	 -0.16479	 0.97003	 -0.88547	 0.00000
	 0.68460	 -0.84926	 0.96105	 0.00709	 0.73948	 0.71878	 0.87823	 -0.44188	 -0.02514
	 0.59143	 -0.39747	 0.87879	 0.00639	 0.63076	 -0.50925	 0.82218	 -0.35421	 0.00000
	 0.63130	 -0.62799	 0.90399	 0.28696	 0.60188	 -0.18687	 0.87098	 -0.88369	 -0.26847
	 0.63130	 -0.62799	 0.90399	 0.36820	 0.60924	 -0.23883	 0.90824	 -0.87598	 -0.26926
	 0.69354	 -0.73790	 0.97431	 0.04157	 0.73948	 0.80739	 0.87467	 -0.39070	 -0.08134
	 0.59198	 -0.46406	 0.87957	 0.69406	 0.62776	 -0.38825	 0.97066	 -0.22464	 0.00000
	 0.67855	 -0.75098	 0.87937	 0.65816	 0.37820	 -0.25739	 0.87467	 -0.79470	 -0.18150
	 0.71100	 -0.77279	 0.90240	 0.67414	 0.74134	 0.71308	 0.85965	 -0.40579	 -0.36593
	 0.67855	 -0.69440	 0.96420	 0.71426	 0.61654	 0.73334	 0.85929	 -0.36636	 -0.00454
	 0.67561	 -0.45404	 0.88006	 0.81484	 0.73999	 -0.37879	 0.96532	 -0.59042	 0.00000
	 0.64731	 -0.61592	 0.87612	 0.43777	 0.61291	 -0.07101	 0.87464	 -0.82979	 0.00000
	 0.67146	 -0.68186	 0.88998	 0.71953	 0.73709	 0.73591	 0.86873	 -0.42393	 -0.03229
	 0.56411	 -0.84265	 0.85494	 0.37315	 0.52132	 0.22812	 0.87045	 -0.87976	 0.00000
	 0.68069	 -0.68451	 0.87937	 0.71953	 0.71770	 0.80316	 0.77847	 -0.37670	 0.00000
	 0.67855	 -0.77697	 0.88220	 0.68941	 0.73049	 0.74456	 0.87467	 -0.35927	 0.00000
	 0.67698	 -0.71401	 0.87937	 0.71953	 0.73555	 0.80629	 0.87467	 -0.37670	 -0.38889
	 0.69354	 -0.75098	 0.87937	 0.64478	 0.73948	 0.74456	 0.87467	 -0.43178	 -0.38919
	 0.67855	 -0.75098	 0.87937	 0.72038	 0.73948	 0.74456	 0.87660	 -0.37670	 -0.35588
	 0.63130	 -0.61538	 0.91727	 0.46044	 0.60188	 -0.22004	 0.86869	 -0.87598	 -0.25693
	 0.63130	 -0.62853	 0.90906	 0.40527	 0.60188	 -0.18687	 0.82308	 -0.75223	 -0.26899
	 0.67855	 -0.75106	 0.87937	 0.73239	 0.73948	 0.74456	 0.87467	 -0.31269	 -0.35465
	 0.69354	 -0.75098	 0.85739	 0.70810	 0.73948	 0.74456	 0.87467	 -0.37670	 -0.39517
	 0.72767	 -0.85466	 0.87937	 0.71313	 0.73958	 0.74456	 0.87467	 -0.37670	 -0.29176
	 0.68069	 -0.68601	 0.87937	 0.70681	 0.73544	 0.69252	 0.88607	 -0.37670	 -0.39838
	 0.72628	 -0.75461	 0.87937	 0.71905	 0.73553	 0.74456	 0.87430	 -0.37670	 -0.32671
	 0.62378	 -0.81467	 0.87937	 0.69974	 0.73948	 0.74456	 0.85966	 -0.37670	 -0.00822
	 0.63746	 -0.75757	 0.87937	 0.73129	 0.73948	 0.74456	 0.86912	 -0.37670	 -0.00749
	 0.67434	 -0.60933	 0.92438	 0.43777	 0.61558	 -0.13880	 0.88583	 -0.88193	 -0.30610
	 0.74106	 -0.57117	 0.78808	 0.32458	 0.50208	 0.81830	 0.98179	 -0.88097	 -0.23328
	 0.63615	 -0.63627	 0.90399	 0.36003	 0.60188	 -0.18687	 0.87098	 -0.87598	 -0.26835
	 0.69354	 -0.75098	 0.87937	 0.69657	 0.73948	 0.74456	 0.87467	 -0.43178	 -0.39290
	 0.69354	 -0.75098	 0.85739	 0.71331	 0.73948	 0.74456	 0.87467	 -0.39331	 -0.39574
