l_s	l_l	R	theta	
	 0.10862	 0.37183	 0.00353	 0.14093
	 0.25518	 0.39118	 0.00382	 0.15862
	 0.13015	 0.39092	 0.00354	 0.14142
	 0.10862	 0.36940	 0.00354	 0.14123
	 0.26495	 0.39118	 0.00382	 5.57879
	 0.25518	 0.42480	 0.00382	 0.15854
	 0.25822	 0.45464	 0.00382	 0.15855
	 0.25518	 0.45044	 0.00455	 0.18318
	 0.10862	 0.37181	 0.00354	 0.14105
	 0.10199	 0.39473	 0.00354	 0.14095
	 0.25518	 0.40146	 0.00217	 16.98297
	 0.10245	 0.39740	 0.00383	 0.15258
	 0.25137	 0.36914	 0.00381	 0.15827
	 0.10245	 0.38468	 0.00682	 0.26696
	 0.25518	 0.40331	 0.00382	 0.15850
	 0.11270	 0.43082	 0.00361	 0.14422
	 0.11343	 0.39118	 0.00354	 0.14136
	 0.25518	 0.40146	 0.00382	 0.15845
	 0.25518	 0.40146	 0.00382	 0.15845
	 0.25518	 0.42816	 0.00382	 0.15855
	 0.25518	 0.39018	 0.00382	 0.15848
	 0.11270	 0.42948	 0.00382	 0.15234
	 0.28909	 0.37610	 0.00204	 22.46707
	 0.10245	 0.46788	 0.00354	 0.14120
	 0.25518	 0.39118	 0.00382	 0.15848
	 0.20715	 0.42974	 0.00377	 0.15735
	 0.25518	 0.39118	 0.00382	 0.15848
	 0.11270	 0.43082	 0.00382	 0.15234
	 0.11270	 0.43082	 0.00361	 0.14422
	 0.25518	 0.41646	 0.00382	 0.15853
	 0.10245	 0.46788	 0.00354	 0.14119
	 0.10245	 0.39735	 0.00354	 0.14097
	 0.10862	 0.37181	 0.00354	 0.14105
	 0.20715	 0.42974	 0.00377	 0.15735
	 0.10576	 0.38708	 0.00361	 0.14401
	 0.10245	 0.43492	 0.00354	 0.14102
	 0.10245	 0.39118	 0.00354	 0.14096
	 0.11343	 0.39118	 0.00354	 0.14136
	 0.25137	 0.36914	 0.00116	 54.62363
	 0.10862	 0.36914	 0.00354	 0.14104
	 0.10862	 0.37022	 0.00454	 0.17997
	 0.10245	 0.39740	 0.00383	 0.15258
	 0.10862	 0.42561	 0.00355	 0.14148
	 0.27639	 0.37353	 0.00377	 5.91198
	 0.10011	 0.39525	 0.00352	 0.14046
	 0.11047	 0.39554	 0.00354	 0.14129
	 0.10990	 0.38942	 0.00355	 0.14148
	 0.11343	 0.41900	 0.00334	 0.13370
	 0.11311	 0.43172	 0.00353	 0.14118
	 0.11270	 0.37746	 0.00371	 0.14812
	 0.11343	 0.39118	 0.00354	 0.14136
	 0.28548	 0.41447	 0.00377	 6.06651
	 0.10862	 0.37169	 0.00362	 0.14418
	 0.10140	 0.42884	 0.00353	 0.14074
	 0.11270	 0.43070	 0.00362	 0.14438
	 0.11270	 0.42959	 0.00381	 0.15218
	 0.11270	 0.42948	 0.00382	 0.15234
	 0.10862	 0.36914	 0.00322	 0.12885
	 0.10862	 0.37183	 0.00353	 0.14093
	 0.25518	 0.40146	 0.00382	 0.15845
	 0.10245	 0.33551	 0.00354	 0.14086
	 0.24126	 0.40146	 0.00233	 13.01628
	 0.10245	 0.39740	 0.00354	 0.14096
	 0.10862	 0.36914	 0.00354	 0.14104
	 0.10039	 0.37887	 0.00354	 0.14105
	 0.10241	 0.46788	 0.00525	 0.20646
	 0.20715	 0.42976	 0.00422	 0.16979
	 0.10388	 0.39483	 0.00123	 18.34279
	 0.11309	 0.36643	 0.00354	 0.14112
	 0.10823	 0.43353	 0.00219	 6.46309
	 0.10039	 0.36901	 0.00355	 0.14142
	 0.11237	 0.37900	 0.00321	 0.12852
	 0.10990	 0.41826	 0.00454	 0.18025
	 0.11309	 0.36541	 0.00333	 0.13315
	 0.10245	 0.39118	 0.00179	 9.96795
	 0.10245	 0.37689	 0.00354	 0.14093
	 0.10245	 0.43492	 0.00354	 0.14102
	 0.10862	 0.36940	 0.00186	 9.89787
	 0.10112	 0.42884	 0.00353	 0.14072
	 0.11676	 0.39735	 0.00354	 0.14125
	 0.10862	 0.36914	 0.00354	 0.14104
	 0.10862	 0.37183	 0.00142	 16.35749
	 0.11311	 0.35147	 0.00353	 0.14105
	 0.10862	 0.43531	 0.00300	 0.12020
	 0.10245	 0.39735	 0.00354	 0.14097
	 0.10030	 0.39739	 0.00354	 0.14093
	 0.11343	 0.39118	 0.00354	 0.14118
	 0.10245	 0.39740	 0.00354	 0.14115
	 0.10862	 0.38443	 0.00322	 0.12887
	 0.10199	 0.39473	 0.00354	 0.14095
	 0.10245	 0.46788	 0.00354	 0.14119
	 0.10862	 0.36940	 0.00354	 0.14123
	 0.10789	 0.34854	 0.00354	 0.14099
	 0.10114	 0.39210	 0.00354	 0.14122
	 0.10929	 0.41900	 0.00334	 0.13363
	 0.10862	 0.36914	 0.00354	 0.14104
	 0.10227	 0.41820	 0.00354	 0.14099
	 0.11361	 0.37769	 0.00334	 0.13365
	 0.10862	 0.39152	 0.00353	 0.14096
	 0.10245	 0.37149	 0.00354	 0.14092
	 0.10011	 0.39804	 0.00353	 0.14086
	 0.10006	 0.42998	 0.00352	 0.14053
	 0.10681	 0.41724	 0.00220	 6.30641
	 0.10245	 0.39740	 0.00354	 0.14120
	 0.10862	 0.36914	 0.00354	 0.14104
	 0.10140	 0.42884	 0.00868	 0.32967
	 0.10011	 0.39525	 0.00352	 0.14046
	 0.10199	 0.37682	 0.00354	 0.14092
	 0.10245	 0.39645	 0.00354	 0.14096
	 0.10862	 0.39087	 0.00353	 0.14096
	 0.11343	 0.42420	 0.00315	 0.12619
	 0.10862	 0.37183	 0.00353	 0.14093
	 0.10862	 0.36914	 0.00322	 0.12885
	 0.11237	 0.37900	 0.00321	 0.12852
	 0.10245	 0.33585	 0.00354	 0.14086
