xs-	ys-	xs+	ys+	T_f	theta	power	
	 0.60593	 -0.77233	 0.83162	 0.09406	 364.01163	 -0.05719 	 8.91871
	 0.72679	 -0.81940	 0.84747	 0.03956	 385.67053	 -0.14803 	 7.72909
	 0.46195	 -0.56254	 0.81742	 0.04038	 403.89437	 -0.29757 	 24.38279
	 0.73367	 -0.80361	 0.81754	 0.08840	 377.50241	 -0.09454 	 4.86099
	 0.70324	 -0.57746	 0.84295	 0.19597	 395.57641	 -0.19894 	 9.47287
	 0.43628	 -0.03731	 0.85293	 0.40735	 320.12160	 0.00000 	 4.33753
	 0.70031	 -0.56254	 0.84768	 0.09623	 403.14097	 -0.24935 	 11.07901
	 0.43202	 -0.82563	 0.78531	 0.24600	 403.31684	 0.00967 	 11.07717
	 0.70449	 -0.58861	 0.85567	 0.09692	 360.67956	 -0.04280 	 5.68711
	 0.71926	 -0.15773	 0.85852	 0.72623	 307.80543	 0.00000 	 0.40147
	 0.43693	 -0.66918	 0.78621	 0.60984	 353.23338	 0.01000 	 9.55641
	 0.71981	 -0.56400	 0.86374	 0.82378	 361.62889	 -0.04287 	 5.57136
	 0.66463	 -0.17455	 0.84756	 0.09011	 403.17287	 -0.11941 	 11.90876
	 0.70458	 -0.04122	 0.85274	 0.41879	 320.12160	 0.00000 	 1.54541
	 0.70032	 -0.55901	 0.84798	 0.09090	 403.14097	 -0.24952 	 11.09451
	 0.70319	 -0.82279	 0.77948	 0.04813	 389.91186	 -0.12196 	 5.02030
	 0.45195	 -0.80354	 0.84603	 0.08939	 405.06944	 -0.30796 	 24.97044
	 0.59165	 -0.77233	 0.84614	 0.80273	 363.98911	 -0.01741 	 9.87659
	 0.72596	 -0.16726	 0.83148	 0.82358	 361.65141	 0.00000 	 0.00000
	 0.70319	 -0.80006	 0.81830	 0.04837	 382.41107	 -0.12939 	 6.79948
	 0.46195	 -0.56254	 0.83642	 0.04038	 403.89437	 -0.38304 	 26.88194
	 0.72576	 -0.57746	 0.84295	 0.19507	 395.58557	 -0.18490 	 8.13853
	 0.70350	 -0.80911	 0.86120	 0.19243	 395.43462	 -0.22028 	 11.30243
	 0.66530	 -0.57385	 0.77592	 0.05114	 390.05805	 -0.07200 	 6.35142
	 0.72668	 -0.55049	 0.85111	 0.09011	 403.14097	 -0.22271 	 9.43533
	 0.45338	 -0.41386	 0.84969	 0.06892	 399.59768	 -0.30624 	 26.18413
	 0.70490	 -0.81690	 0.78670	 0.29217	 405.48255	 -0.17688 	 6.53922
	 0.46195	 -0.56254	 0.81742	 0.04038	 403.89437	 -0.29757 	 24.38279
