Test : Start of hold value,50,MPa,,,
,,,,,
Time,Extension,Load,Temperature: Chamber 3119-600 1 1,Tensile strain (Extension),Tensile stress
(s),(mm),(N),(C),(mm/mm),(MPa)
32.184,7.45316,6.04295,55.65395,0.0077,53.00403
32.284,7.45837,6.19039,55.65395,0.00775,54.29734
32.384,7.46318,6.13632,55.65395,0.0078,53.82301
32.484,7.4676,6.23574,55.65395,0.00784,54.69506
32.584,7.47233,6.19728,55.65395,0.00788,54.35775
32.684,7.47719,6.30466,55.65957,0.00793,55.2996
32.784,7.4828,6.32407,55.65957,0.00798,55.4698
32.884,7.48855,6.36276,55.65957,0.00803,55.8092
32.984,7.49341,6.40481,55.65957,0.00808,56.17799
33.084,7.49822,6.43682,55.65957,0.00813,56.45876
33.184,7.5024,6.51311,55.6666,0.00816,57.12793
33.284,7.50634,6.43274,55.6666,0.0082,56.42301
33.384,7.50971,6.60086,55.6666,0.00823,57.89763
33.484,7.51332,6.45289,55.6666,0.00827,56.59975
33.584,7.51598,6.62827,55.6666,0.00829,58.13806
33.684,7.51888,6.49479,55.6666,0.00832,56.96724
33.784,7.52177,6.62759,55.66829,0.00835,58.13209
33.884,7.5241,6.58488,55.66829,0.00837,57.7575
33.984,7.52698,6.5849,55.66829,0.00839,57.7576
34.084,7.52984,6.72058,55.66829,0.00842,58.94774
34.184,7.5319,6.58834,55.66829,0.00844,57.78782
34.284,7.53383,6.71402,55.66829,0.00846,58.8902
34.384,7.53581,6.66559,55.67448,0.00848,58.46542
34.484,7.53733,6.65473,55.67448,0.00849,58.3701
34.584,7.53827,6.714,55.67448,0.0085,58.89002
34.684,7.53886,6.59933,55.67448,0.00851,57.88421
34.784,7.53926,6.72891,55.67448,0.00851,59.02078
34.884,7.53955,6.56718,55.67448,0.00851,57.60221
34.984,7.53975,6.71968,55.68069,0.00851,58.9398
35.084,7.53989,6.58457,55.68069,0.00852,57.75474
35.184,7.53996,6.68753,55.68069,0.00852,58.65779
35.284,7.54001,6.62995,55.68069,0.00852,58.15276
35.384,7.54004,6.61749,55.68069,0.00852,58.04353
35.484,7.54005,6.65269,55.6859,0.00852,58.35227
35.584,7.54005,6.54613,55.6859,0.00852,57.41755
35.684,7.54006,6.66941,55.6859,0.00852,58.49889
35.784,7.54005,6.50753,55.6859,0.00852,57.079
35.884,7.54005,6.63143,55.6859,0.00852,58.16579
35.984,7.54004,6.50559,55.6859,0.00852,57.062
36.084,7.54004,6.59159,55.68975,0.00852,57.81629
36.184,7.54004,6.57023,55.68975,0.00852,57.62899
36.284,7.54002,6.53055,55.68975,0.00852,57.2809
36.384,7.54002,6.62579,55.68975,0.00852,58.11628
36.484,7.54001,6.4939,55.68975,0.00852,56.95942
36.584,7.54,6.63267,55.68975,0.00852,58.17664
36.684,7.54,6.48794,55.69053,0.00852,56.9072
36.784,7.53998,6.57211,55.69053,0.00852,57.6454
36.884,7.53998,6.51294,55.69053,0.00852,57.12646
36.984,7.53997,6.49441,55.69053,0.00852,56.9639
37.084,7.53996,6.57072,55.69053,0.00852,57.63324
37.184,7.53996,6.44692,55.69053,0.00852,56.54733
37.284,7.53995,6.60733,55.69395,0.00852,57.95436
37.384,7.53994,6.47773,55.69395,0.00852,56.81759
37.484,7.53993,6.56859,55.69395,0.00852,57.61454
37.584,7.53992,6.53231,55.69395,0.00852,57.29632
37.684,7.53991,6.48583,55.69395,0.00852,56.8887
37.784,7.5399,6.57434,55.69921,0.00852,57.66496
37.884,7.5399,6.42087,55.69921,0.00852,56.31891
37.984,7.53989,6.5649,55.69921,0.00852,57.58219
38.084,7.53988,6.43415,55.69921,0.00852,56.43534
38.184,7.53987,6.54094,55.69921,0.00852,57.37205
38.284,7.53986,6.50223,55.69921,0.00852,57.03255
